hjd,phase,target flux,comp flux,check flux,mag
2459923.5060183,0.06916383980615137,48247.01060363769,96220.08077758786,18926.243188476565,10.660488520864083
2459926.4837095,0.8046381902836401,49168.91141723634,93652.04109497074,18457.350065002436,10.6105668861664
2459926.4852234,0.8055205296677741,49023.895945434575,92574.86245483402,18166.68971008301,10.601213385879381
2459926.486746,0.8064079398757258,49345.810376586924,91983.57731140139,18076.585159912112,10.587150276981822
2459928.4971128,0.9781009669932246,31190.482026062007,80509.41641174316,15649.878742370604,10.940561731952448
2459928.4986267,0.9789833066488427,30685.869623107905,78356.85798583986,15302.802835083008,10.928846695516775
2459928.5001321,0.979860692182001,30040.976004333497,76962.01142578125,14870.824022216799,10.932406179766392
2459928.7016718,0.09732316774079663,450395.03987792967,949572.3971386718,179593.04272705078,10.720836458474624
2459928.7026909,0.09791712504465977,457675.8072216797,964328.9508496096,182275.5678918457,10.720168374385711
2459928.7037128,0.09851271454385824,464759.3673828126,978869.7076953128,185874.4980908203,10.719742094429165
2459929.6202755,0.6327088248433483,425153.80829101556,857587.4747363281,161103.87324462895,10.67283114133367
2459929.6212967,0.633304006157914,371491.3942773438,748461.1144335938,141414.55742919925,10.671551462478831
2459929.6223286,0.6339054236850643,377575.2907910157,760348.2845703125,143572.09446533202,10.67102276407808
2459932.6106774,0.3755912952424296,5929.7096820068355,10908.476313781739,2234.110636901856,10.572826906993178
2459934.4908751,0.47141845202054355,31535.80284179688,67820.01566345213,13339.615989990236,10.742385236670632
2459934.4923752,0.4722927487587185,30552.661139831544,66248.80037017824,12687.040802917481,10.75132268971878
2459934.4938875,0.47317415561474263,29903.86986907959,63738.067074279774,12441.749162597658,10.732678988628093
2459935.4768181,0.04605117014625648,40372.5662109375,84352.96463928222,16402.372495117186,10.711035240026405
2459935.478324,0.04692884689075072,38221.9428338623,81003.2023565674,16001.132458496095,10.726473826461346
2459935.4798287,0.04780582451076043,37694.71768859863,79153.38699279782,15671.757338867186,10.716472772056278
2459939.4977024,0.38952505651309366,69246.82499816893,135115.85212768556,27378.25874206543,10.63676634913867
2459939.4992112,0.390404423532118,69986.02029846194,135940.8012817383,27472.711368408203,10.63184656947666
2459939.5007136,0.39128006043983987,71272.0353594971,136645.1196728516,27902.60990203858,10.617687661620618
2459940.4691974,0.9557371115329261,3693.8317520141604,8831.533163146974,1739.6438662719725,10.857397736605682
2459940.4707026,0.9566143806357559,2930.223946838379,6972.880258789061,1429.1606045532226,10.85227873712375
2459940.4722081,0.9574918242483363,2725.145491943359,6779.957796630859,1417.1270385742187,10.900593493939068
2459941.4693537,0.5386537031893113,33321.604439697265,68106.13626190186,13193.652761535644,10.687151097742865
2459941.470856,0.539529282017611,32459.413548278804,65652.1122216797,12882.483109741208,10.675770337069011
2459941.4723693,0.5404112718392753,31455.094288024895,63874.24198547363,12596.079049072267,10.680087171601306
2459943.547745,0.7499931434151677,44635.01625610351,83436.19715820314,16663.416185302736,10.590197262730243
2459943.5492605,0.7508764153271841,59200.77907653808,109476.25110961914,22292.9043548584,10.578481489358685
2459943.5507824,0.7517634176222145,46729.971017456075,88198.26714660643,17416.06904846191,10.600661603905515
2459945.7356618,0.025166837419192234,170285.5287060547,445216.74060546886,85701.48192871093,10.954484611263275
2459945.7366909,0.02576662302249133,188284.70977050785,476601.45859375,95185.32954101563,10.919351036466049
2459945.7377179,0.026365184886572024,166689.74416015626,428841.68648437504,82509.65004882812,10.936970539894846
2459948.7353488,0.7734609009880842,243018.53875000004,468681.42158203124,93750.0482275391,10.624096085201124
2459948.7363793,0.7740615024174531,239590.19886718752,450543.91921875003,93399.82784423832,10.596670463248438
2459948.7374106,0.7746625703823611,260045.15263671873,501065.5959960939,103715.13376220701,10.623114805882201
2459950.566889,0.8409292263606858,422366.49490234395,838816.9273828125,172521.35677734375,10.655944567749545
2459950.5679181,0.8415290119639849,426479.7915917969,832416.0011914063,173811.4651123047,10.637105158256515
2459950.5689479,0.8421292057516894,430548.6618359375,837219.2082421877,174948.00992431643,10.633042601759486
2459955.5009564,0.7166295056379113,84277.12566711426,154854.59720581054,31045.041737670905,10.571536220847456
2459955.5024797,0.7175173237590116,83603.47276397706,154578.43395263673,31231.508932189936,10.578311715141723
2459955.504003,0.7184051418801118,83156.05684997559,153342.4541662597,30979.129916381837,10.575421557156027
2459957.7231026,0.011752966732274217,179370.5791503906,477582.73263671884,94597.89917236326,10.974243766200818
2459957.7241468,0.012361553271148296,211996.09698730477,541908.236953125,109430.96137451172,10.92999496925278
2459957.7251839,0.012966001514087111,196293.56827148443,507990.061328125,101267.49659912109,10.943373116090065
2459958.5909917,0.5175808619962936,368089.7264941407,792589.52390625,164533.15421142578,10.743736830301438
2459958.5920143,0.5181768594086407,350422.7901074218,745221.1440136719,155902.47462890626,10.730232315138625
2459958.5930448,0.5187774611094937,338890.86572265637,731156.7394726562,153326.5279077149,10.745876812315219
