hjd,phase,mag
2458792.2023553248,0.7165453978829532,10.54436
2458792.2231886974,0.72868761860326,10.54326
2458792.244022069,0.7408298387807122,10.54526
2458792.2648555404,0.7529721170376433,10.5461
2458792.285688911,0.7651143366722977,10.54734
2458792.3065222814,0.7772565560355815,10.5531
2458792.3273556507,0.7893987748560107,10.56067
2458792.34818902,0.8015409936764968,10.56655
2458792.3690224886,0.8136832703050345,10.57522
2458792.3898558565,0.8258254883112954,10.58603
2458792.410689224,0.8379677060461859,10.59517
2458792.431522591,0.850109923509649,10.60397
2458792.4523560577,0.8622521990525343,10.61307
2458792.473189424,0.8743944159731996,10.62406
2458792.494022789,0.8865366323511239,10.63306
2458792.514856154,0.8986788487289914,10.64578
2458792.5356896184,0.9108211229149106,10.68292
2458792.556522982,0.9229633384785529,10.73725
2458792.5773563455,0.9351055537708817,10.81016
2458792.598189709,0.9472477690631536,10.89844
2458792.619023171,0.9593900418920498,11.0033
2458792.639856532,0.9715322560987261,11.1092
2458792.660689894,0.9836744705768297,11.19117
2458792.6815232546,0.9958166842407081,11.2293
2458792.7023567143,0.007958955712638272,11.1809
2458792.7231900743,0.020101169105146255,11.11096
2458792.7440234334,0.03224338195479959,11.00523
2458792.764856792,0.04438559453308244,10.9052
2458792.78569025,0.05652786491941697,10.81395
2458792.8065236076,0.06867007695490202,10.74228
2458792.8273569643,0.08081228844758925,10.6852
2458792.8481903207,0.09295449966890601,10.64916
2458792.8690237766,0.10509676896964493,10.63268
2458792.889857132,0.11723897964810703,10.62424
2458792.910690487,0.12938119005519866,10.61338
2458792.9315238413,0.1415234001909198,10.60294
2458792.952357295,0.15366566813463578,10.5922
2458792.973190648,0.1658078774561318,10.58445
2458792.994024001,0.1779500867776278,10.57508
2458793.014857353,0.190092295556326,10.56761
2458793.035690805,0.20223456241450322,10.56118
2458793.0565241557,0.2143767703789763,10.55443
2458793.0773575064,0.2265189783435062,10.55058
2458793.098190856,0.23866118576518147,10.54756
2458793.119024306,0.2508034515377062,10.5439
2458793.139857655,0.2629456584166405,10.54209
2458793.1606910033,0.2750878650241475,10.53969
2458793.1815243512,0.28723007136022716,10.53915
2458793.202357799,0.2993723357757858,10.54268
2458793.223191146,0.31151454156906766,10.54594
2458793.244024492,0.32365674681960854,10.55025
2458793.2648578375,0.3357989517987221,10.55662
2458793.285691283,0.3479412151286283,10.56231
2458793.306524628,0.36008341956494405,10.56919
