phase,mag
0.17732070035933134,10.64
0.17805506064803467,10.65
0.1787835923659884,10.662
0.7399512929826244,10.615
0.7406914812992795,10.603
0.7414200132886322,10.615
0.08744999715213453,10.734
0.08818435744080944,10.743
0.08891871745811386,10.721
0.19906239741987974,10.648
0.19979675770858307,10.618
0.2005252894265368,10.639
0.5060605580657693,10.9
0.5068065746817183,10.905
0.5075409349704216,10.919
0.626606684972046,10.646
0.6273410449893504,10.631
0.6280754050066264,10.633
0.32542061221167273,10.633
0.32616080052829943,10.633
0.32688933251765206,10.654
0.1284495663549876,10.66
0.1291897549430132,10.68
0.12991828666096694,10.663
0.6371231629970282,10.644
0.6378516947149819,10.65
0.6385802267043346,10.639
0.5742722498033572,10.713
0.5750066098206332,10.716
0.5757351418099859,10.716
0.3152943995170574,10.616
0.31602293123501113,10.621
0.31675146322436376,10.634
0.8647531357812284,10.664
0.8654933240978551,10.664
0.8662218560872077,10.67
0.13267284681475644,10.659
0.13340137880410907,10.668
0.1341707083460335,10.663
0.9697912643324003,11.023
0.970531452649027,11.037
0.9712599846383796,11.062
0.6826979121702834,10.638
0.6834322724589583,10.637
0.684172460775585,10.588
0.39717236058868366,10.663
0.39791254890531036,10.648
0.398641080894663,10.657
0.6205871875646096,10.672
0.621321547581914,10.645
0.62205590759919,10.639
0.9447495589485015,10.865
0.9454839189657775,10.872
0.9462124509551302,10.813
0.4762514417353998,10.838
0.4769858017526758,10.852
0.4777318183686532,10.797
0.17533346884479784,10.606
0.3745552092745186,10.664
0.3752953975911453,10.661
0.3760239295804979,10.649
0.3359906343308694,10.625
0.33671916632022203,10.64
0.33744769830957466,10.632
0.9186937370788257,10.717
0.9194339253954524,10.702
0.9201682856841558,10.733
0.055135821047031186,10.929
0.055870181335734515,10.925
0.05660454135301052,10.808
0.13571760362648888,10.647
0.1364461356158415,10.672
0.13717466733379524,10.67
0.8691348689091001,10.663
0.8698750574971257,10.691
0.8706094175144301,10.658
0.614394160216932,10.646
0.6151226919348858,10.642
0.7681671684375999,10.632
0.7688957001555536,10.618
0.7696300604442285,10.634
0.25750261497225324,10.583
0.25823114669020697,10.616
0.2589596786795596,10.614
0.9953425374015694,11.23
0.9961701496654598,11.245
0.9968986813834135,11.241
0.9059788924372185,10.708
0.9067074244265712,10.733
0.9074359561445249,10.717
0.4801086319937724,10.866
0.48083716398312504,10.843
0.48157735229975174,10.859
0.648516388580191,10.647
0.6492565768968461,10.645
0.6499851086147714,10.653
0.9714956241544996,11.044
0.9722241561438523,11.052
0.9729585161611567,11.022
0.716300311370702,10.625
0.7170579845853524,10.599
0.7177923446026284,10.603
0.6201817190386691,10.675
0.6209102507566229,10.652
0.6216504390732496,10.651
0.7842066276330968,10.628
0.7849409879218001,10.622
0.7856753479390761,10.628
0.6901046114024894,10.622
0.6908564563178174,10.613
0.6915966446344441,10.603
0.7790503464773337,10.627
0.7797905347939604,10.628
0.3598242965283447,10.63
0.3605703131443221,10.618
0.3613105014609488,10.642
0.9405049946041402,10.761
0.9412510112201176,10.859
0.9419911998081432,10.825
0.6871688951966206,10.623
0.6879149118125838,10.616
0.6886551001292105,10.619
0.08856861924893167,10.731
0.08931463586490906,10.593
0.09004899588219928,10.721
0.41077852528131586,10.657
0.4115128852986061,10.617
0.41225890191456926,10.671
0.7355645200806435,10.606
0.7363047083972702,10.57
0.7370507250132476,10.617
0.22394413258014367,10.612
0.22468432089677037,10.623
0.225412852886123,10.637
0.9989158675696217,11.219
0.9996560558862484,11.239
0.7300766099798466,10.613
0.7308109699971368,10.592
0.22586393448777642,10.636
0.2266099511037396,10.603
0.2273501396917652,10.578
0.3138602457728652,10.616
0.3146062623888355,10.548
0.3153522790048058,10.617
0.7809492430848763,10.598
0.7816777748028301,10.567
0.7824471046161534,10.591
0.08025410695451995,10.754
0.08100595186982673,10.744
0.08174031215851585,10.728
0.4129490437058152,10.664
0.4136834039945043,10.645
0.4144294206104746,10.668
0.794070951102114,10.531
0.7948111394187407,10.621
0.7955513277353674,10.612
0.5439637048308867,10.812
0.544698064848177,10.793
0.5454382531648037,10.786
0.8801789075142281,10.686
0.8809249241301984,10.683
0.8816592841474886,10.694
0.31272383763169387,10.623
0.31346402594832057,10.621
0.31421004256429086,10.608
0.6918757947784684,10.564
0.6926159830951022,10.561
0.693367828010409,10.612
0.3846924475936504,10.595
0.3854384642096207,10.637
0.386184480825591,10.64
0.13014407115124982,10.656
0.13088425946787652,10.659
0.1316302760838468,10.662
0.6577478396609493,10.636
0.6584938562769196,10.625
0.6592340445935463,10.629
0.3768324378457635,10.65
0.3775726261623902,10.568
0.952605745331482,10.914
0.9533517619474452,10.936
0.954091950264079,10.925
0.38174664513305245,10.62
0.38249266174902274,10.646
0.38323285006564944,10.626
0.6873984786734617,10.597
0.6881328389621508,10.605
0.688867198979441,10.604
0.8477224456847487,10.566
0.8484684623007155,10.641
0.8492144789166858,10.634
0.9505856467400804,10.887
0.5376599406099558,10.781
0.5384001289265861,10.792
0.5391344892152752,10.763
0.2827910101465214,10.633
0.28352537016381163,10.623
0.28427138677977837,10.609
0.6704230782380698,10.642
0.6711632665546965,10.624
0.6719092831706668,10.634
0.3116596746205573,10.626
0.3123998632085865,10.632
0.3131458798245532,10.644
0.5715477209451834,10.715
0.5722995658604901,10.742
0.5730455824764569,10.735
0.1675509015521186,10.673
0.16829691816808534,10.673
0.16904293478405563,10.667
0.10411749232337719,10.679
0.10485768064000567,10.663
0.10559786895663592,10.684
0.6988792543987454,10.586
0.27392985819445137,10.59
0.27469335943703577,10.608
0.45155208574293404,10.719
0.45228644576022425,10.777
0.45303246237619277,10.776
0.5498469235251084,10.796
0.5505871118417378,10.784
0.5513273001583672,10.803
0.11400451863357297,10.665
0.1147505352495406,10.693
0.11551403676352479,10.705
0.8493324633172534,10.695
0.850055167007266,10.689
0.8507953553238954,10.673
0.4494503917749917,10.734
0.45018475179228234,10.75
0.45091911208097235,10.779
0.011760430377251385,11.22
0.012523931619836226,11.214
0.013269948235804296,11.197
0.5944227350298461,10.583
0.5951920648431686,10.637
0.5959264248604597,10.654
0.8642829255311808,10.67
0.8650172858198708,10.681
0.8657516458371617,10.667
0.4424982719846604,10.749
0.44323846030128977,10.734
0.44397282031858054,10.75
0.0008917230138383462,11.232
0.00162608330252832,11.234
0.0023662716191577165,11.222
0.5726551912226521,10.67
0.5733953795392814,10.737
0.5741239112572335,10.715
0.30967915798672774,10.61
0.3104193463033571,10.613
0.3111478782927084,10.597
0.8902141496646556,10.688
0.8909485099533456,10.677
0.8916828699706363,10.684
0.9970813619689514,11.224
0.9978215505569801,11.229
0.9985559105742707,11.233
0.24991721983081394,10.621
0.25065158011950395,10.601
0.25138594013679505,10.566
0.3732842221764887,10.638
0.3740244104931181,10.639
0.3747587705104083,10.643
0.5590368654234155,10.735
0.5597770537400448,10.751
0.5605114137573359,10.697
0.208203183134529,10.632
0.20894337145115927,10.566
0.36964034663472844,10.627
0.3703805349513587,10.621
0.37112072326798895,10.632
0.688809221435541,10.607
0.6900856092203398,10.622
0.6914202794557305,10.604
0.4919314278254916,10.802
0.49286977669124354,10.899
0.2262452560234216,10.628
0.2272768571357915,10.628
0.2282560038255106,10.609
0.8259726914108576,10.637
0.8269576663999167,10.649
0.8278843589383911,10.605
0.4138512843472917,10.678
0.4147663202870824,10.64
0.415669699899599,10.69
0.9923405586984941,11.204
0.9933371902862298,11.211
0.9943862760252173,11.206
0.9243777856652713,10.744
0.9251179739819122,10.69
0.9258639905978754,10.735
0.25611688865281224,10.583
