HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458509.60248,2019-01-26.1018074,bq,1.52,15.464,11.285,0.007,111.259,0.663,g
2458509.60370,2019-01-26.1030186,bq,1.56,15.461,11.279,0.006,111.803,0.630,g
2458509.60492,2019-01-26.1042343,bq,1.42,15.435,11.258,0.007,113.921,0.669,g
2458512.67080,2019-01-29.1703422,bq,1.52,15.138,10.761,0.006,180.246,1.013,g
2458512.67202,2019-01-29.1715570,bq,1.55,15.124,10.744,0.006,183.043,0.909,g
2458512.67324,2019-01-29.1727751,bq,1.53,15.117,10.732,0.005,184.994,0.826,g
2458515.65712,2019-02-01.1568637,bq,1.54,15.231,10.899,0.006,158.711,0.848,g
2458515.65833,2019-02-01.1580768,bq,1.50,15.200,10.877,0.005,161.833,0.775,g
2458515.65955,2019-02-01.1592929,bq,1.53,15.208,10.880,0.006,161.350,0.833,g
2458522.63863,2019-02-08.1388659,bq,1.59,15.143,10.764,0.005,179.659,0.846,g
2458522.63984,2019-02-08.1400885,bq,1.56,15.136,10.754,0.005,181.313,0.894,g
2458522.64106,2019-02-08.1413041,bq,1.58,15.156,10.776,0.005,177.679,0.854,g
2458526.63776,2019-02-12.1382748,bq,2.25,15.115,10.923,0.007,155.167,1.014,g
2458526.63898,2019-02-12.1394966,bq,2.19,15.080,10.948,0.007,151.647,0.930,g
2458527.62585,2019-02-13.1264466,bq,1.53,15.175,10.901,0.006,158.310,0.911,g
2458527.62707,2019-02-13.1276615,bq,1.54,15.175,10.951,0.007,151.205,1.019,g
2458527.62829,2019-02-13.1288774,bq,1.55,15.202,10.936,0.006,153.438,0.833,g
2458537.57844,2019-02-23.0797185,bq,1.59,15.083,10.737,0.006,184.249,1.008,g
2458537.57966,2019-02-23.0809354,bq,1.59,15.082,10.734,0.006,184.604,0.975,g
2458537.58088,2019-02-23.0821512,bq,1.69,15.062,10.703,0.006,190.021,0.987,g
2458541.58388,2019-02-27.0854290,bq,1.54,15.164,10.734,0.006,184.659,0.949,g
2458541.58510,2019-02-27.0866481,bq,1.47,15.168,10.744,0.006,183.051,0.973,g
2458541.58632,2019-02-27.0878651,bq,1.55,15.176,10.751,0.006,181.812,0.898,g
2458640.10224,2019-06-05.6058541,bA,2.00,14.117,10.768,0.021,178.866,3.412,g
2458640.10352,2019-06-05.6071291,bA,2.01,14.632,10.840,0.011,167.534,1.673,g
2458640.10479,2019-06-05.6084035,bA,2.02,14.618,10.924,0.010,155.013,1.458,g
2458642.09908,2019-06-07.6026289,bA,1.98,15.285,10.695,0.006,191.443,0.998,g
2458642.10036,2019-06-07.6039035,bA,2.01,15.301,10.726,0.005,186.062,0.905,g
2458642.10164,2019-06-07.6051787,bA,2.02,15.317,10.739,0.007,183.962,1.128,g
2458644.09208,2019-06-09.5955556,bA,2.07,15.325,10.770,0.006,178.627,0.965,g
2458644.09336,2019-06-09.5968332,bA,2.07,15.352,10.776,0.005,177.819,0.851,g
2458644.09464,2019-06-09.5981112,bA,2.08,15.367,10.776,0.005,177.776,0.910,g
2458646.08492,2019-06-11.5883160,bA,2.08,15.359,10.809,0.005,172.354,0.814,g
2458646.08620,2019-06-11.5895965,bA,2.09,15.368,10.849,0.006,166.068,0.908,g
2458646.08747,2019-06-11.5908681,bA,2.08,15.393,10.861,0.005,164.436,0.860,g
2458647.08898,2019-06-12.5923380,bA,2.01,15.317,10.773,0.006,178.170,1.042,g
2458647.09025,2019-06-12.5936149,bA,2.03,15.333,10.775,0.005,177.943,0.864,g
2458647.09152,2019-06-12.5948781,bA,2.03,15.341,10.778,0.007,177.356,1.088,g
2458649.09352,2019-06-14.5968017,bA,2.03,15.331,10.725,0.006,186.251,1.045,g
2458649.09479,2019-06-14.5980770,bA,2.06,15.363,10.738,0.006,183.946,0.955,g
2458649.09607,2019-06-14.5993502,bA,2.04,15.332,10.719,0.005,187.363,0.853,g
2458653.92391,2019-06-19.4269785,bq,1.45,14.360,10.864,0.011,163.957,1.578,g
2458653.92513,2019-06-19.4282025,bq,1.61,14.381,10.816,0.011,171.192,1.727,g
2458653.92635,2019-06-19.4294158,bq,1.48,14.225,10.816,0.011,171.241,1.827,g
2458654.07250,2019-06-19.5755549,bA,2.12,15.259,10.748,0.007,182.218,1.137,g
2458654.07377,2019-06-19.5768269,bA,2.11,15.178,10.737,0.007,184.163,1.187,g
2458654.07504,2019-06-19.5780918,bA,2.10,15.146,10.732,0.007,185.093,1.212,g
2458655.91686,2019-06-21.4198317,bq,1.46,15.004,10.736,0.006,184.407,1.010,g
2458655.91808,2019-06-21.4210474,bq,1.52,15.024,10.745,0.006,182.754,1.000,g
2458655.91930,2019-06-21.4222655,bq,1.56,15.003,10.729,0.006,185.436,1.094,g
2458656.94705,2019-06-22.4499707,bq,1.48,15.006,10.807,0.006,172.600,0.971,g
2458656.94826,2019-06-22.4511782,bq,1.51,14.990,10.806,0.008,172.794,1.309,g
2458656.94948,2019-06-22.4523990,bq,1.52,14.950,10.806,0.007,172.841,1.103,g
2458660.05862,2019-06-25.5613844,bA,2.16,15.273,10.744,0.006,182.993,0.993,g
2458660.05989,2019-06-25.5626561,bA,2.10,15.251,10.724,0.007,186.399,1.155,g
2458660.06116,2019-06-25.5639325,bA,2.14,15.282,10.722,0.006,186.734,1.133,g
2458661.93210,2019-06-27.4347689,bq,1.57,14.444,10.752,0.008,181.679,1.435,g
2458661.93332,2019-06-27.4359873,bq,1.52,14.465,10.757,0.009,180.693,1.493,g
2458661.93454,2019-06-27.4372042,bq,1.44,14.488,10.746,0.009,182.646,1.544,g
2458662.95019,2019-06-28.4528001,bq,1.49,14.466,10.705,0.009,189.536,1.559,g
2458662.95140,2019-06-28.4540143,bq,1.49,14.563,10.774,0.009,178.027,1.374,g
2458662.95263,2019-06-28.4552381,bq,1.47,14.438,10.771,0.011,178.648,1.914,g
2458667.10251,2019-07-02.6049008,bA,2.01,15.396,10.744,0.005,183.075,0.909,g
2458667.10379,2019-07-02.6061756,bA,2.00,15.387,10.743,0.007,183.230,1.162,g
2458667.10506,2019-07-02.6074503,bA,2.02,15.392,10.750,0.006,181.914,1.028,g
2458669.03679,2019-07-04.5390737,bA,2.01,15.452,10.923,0.006,155.164,0.933,g
2458669.03807,2019-07-04.5403532,bA,2.02,15.427,10.894,0.007,159.410,1.017,g
2458669.03935,2019-07-04.5416298,bA,2.01,15.474,10.953,0.007,150.939,0.944,g
2458674.94695,2019-07-10.4488762,bq,1.60,15.108,10.768,0.006,178.904,1.018,g
2458674.94815,2019-07-10.4500872,bq,1.49,15.116,10.794,0.007,174.781,1.064,g
2458674.94937,2019-07-10.4513052,bq,1.47,15.097,10.766,0.006,179.289,0.980,g
2458675.94312,2019-07-11.4449824,bq,1.49,15.236,11.074,0.007,135.034,0.799,g
2458675.94432,2019-07-11.4461888,bq,1.48,15.248,11.085,0.007,133.673,0.836,g
2458675.94554,2019-07-11.4474082,bq,1.50,15.250,11.102,0.007,131.585,0.790,g
2458676.93567,2019-07-12.4374793,bq,1.49,14.883,10.905,0.008,157.814,1.157,g
2458676.93690,2019-07-12.4387076,bq,1.46,14.802,10.882,0.011,161.017,1.692,g
2458676.93811,2019-07-12.4399271,bq,1.46,14.802,10.957,0.009,150.397,1.208,g
2458679.00692,2019-07-14.5086027,bA,2.12,15.187,10.736,0.008,184.323,1.258,g
2458679.00819,2019-07-14.5098704,bA,2.09,15.179,10.715,0.007,187.954,1.222,g
2458679.00947,2019-07-14.5111490,bA,2.12,15.175,10.701,0.007,190.472,1.184,g
2458679.88800,2019-07-15.3896252,bq,1.58,15.044,10.727,0.006,185.830,1.109,g
2458679.88922,2019-07-15.3908422,bq,1.57,15.039,10.753,0.007,181.476,1.192,g
2458679.89044,2019-07-15.3920579,bq,1.64,15.006,10.721,0.007,186.794,1.219,g
2458680.88492,2019-07-16.3864775,bq,1.58,14.953,10.791,0.007,175.301,1.029,g
2458680.88614,2019-07-16.3876971,bq,1.66,14.965,10.772,0.008,178.408,1.227,g
2458680.88737,2019-07-16.3889283,bq,1.52,14.968,10.785,0.007,176.214,1.103,g
2458681.89268,2019-07-17.3941741,bq,1.55,14.926,10.770,0.007,178.770,1.163,g
2458681.89389,2019-07-17.3953851,bq,1.52,14.925,10.813,0.008,171.691,1.214,g
2458681.89511,2019-07-17.3966069,bq,1.53,14.976,10.828,0.008,169.320,1.171,g
2458683.04271,2019-07-18.5441216,bA,2.11,14.607,10.798,0.010,174.193,1.532,g
2458684.11421,2019-07-19.6155545,bA,2.38,15.164,10.725,0.007,186.306,1.193,g
2458684.11548,2019-07-19.6168303,bA,2.31,15.238,10.743,0.006,183.125,1.121,g
2458684.11679,2019-07-19.6181340,bA,2.34,15.226,10.714,0.007,188.226,1.209,g
2458691.86960,2019-07-27.3704375,bq,1.51,14.865,10.709,0.008,189.007,1.374,g
2458691.87083,2019-07-27.3716615,bq,1.52,14.821,10.715,0.007,187.974,1.200,g
2458691.87203,2019-07-27.3728724,bq,1.49,14.815,10.711,0.007,188.618,1.242,g
2458695.05139,2019-07-30.5520065,bA,2.03,15.419,10.822,0.006,170.330,0.979,g
2458695.05267,2019-07-30.5532861,bA,2.01,15.402,10.798,0.006,174.202,0.925,g
2458695.05396,2019-07-30.5545716,bA,2.01,15.392,10.788,0.006,175.738,0.932,g
2458701.81778,2019-08-06.3179355,bq,1.51,15.197,11.047,0.007,138.404,0.875,g
2458701.81900,2019-08-06.3191490,bq,1.45,15.194,11.047,0.007,138.439,0.899,g
2458701.82022,2019-08-06.3203673,bq,1.44,15.197,11.046,0.007,138.620,0.917,g
2458704.89661,2019-08-09.3965444,bq,1.54,15.032,10.754,0.006,181.352,1.035,g
2458704.89782,2019-08-09.3977615,bq,1.51,15.052,10.761,0.007,180.189,1.102,g
2458704.89904,2019-08-09.3989748,bq,1.51,15.036,10.757,0.006,180.782,1.088,g
2458705.93761,2019-08-10.4374789,bq,1.55,15.091,10.850,0.006,165.834,0.996,g
2458705.93882,2019-08-10.4386924,bq,1.51,15.083,10.856,0.006,165.039,0.970,g
2458705.94004,2019-08-10.4399099,bq,1.46,15.070,10.838,0.006,167.870,0.920,g
2458706.82969,2019-08-11.3295060,bq,1.52,15.154,11.083,0.007,133.900,0.857,g
2458706.92083,2019-08-11.4206396,bq,1.64,15.291,11.220,0.007,118.003,0.807,g
2458707.01983,2019-08-11.5196303,bA,2.03,14.980,10.880,0.009,161.501,1.386,g
2458707.02111,2019-08-11.5209031,bA,2.05,14.999,10.851,0.008,165.947,1.250,g
2458707.02237,2019-08-11.5221672,bA,2.07,15.345,10.880,0.007,161.526,1.024,g
