HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459164.83712,2020-11-11.3331009,bq,1.48,15.138,10.794,0.006,174.753,0.887,g
2459164.83835,2020-11-11.3343334,bq,1.46,15.139,10.790,0.006,175.432,0.906,g
2459167.76304,2020-11-14.2590412,bA,2.12,15.406,10.747,0.005,182.530,0.807,g
2459167.76428,2020-11-14.2602851,bA,2.12,15.396,10.724,0.006,186.436,1.082,g
2459167.76552,2020-11-14.261525,bA,2.08,15.409,10.751,0.007,181.696,1.105,g
2459169.59462,2020-11-16.0906406,bq,1.49,15.105,10.647,0.006,200.247,0.976,g
2459169.59584,2020-11-16.0918653,bq,1.50,15.146,10.760,0.006,180.380,1.048,g
2459169.59706,2020-11-16.0930818,bq,1.50,15.135,10.721,0.007,186.934,1.137,g
2459169.70647,2020-11-16.2024917,bq,1.46,15.132,10.708,0.006,189.230,1.011,g
2459169.70770,2020-11-16.2037265,bq,1.47,15.147,10.712,0.006,188.452,1.059,g
2459169.70894,2020-11-16.2049577,bq,1.45,15.126,10.709,0.006,188.959,1.017,g
2459169.73622,2020-11-16.2322418,bq,1.47,15.120,10.702,0.006,190.188,0.965,g
2459169.73744,2020-11-16.2334650,bq,1.49,15.139,10.706,0.006,189.617,0.964,g
2459169.73866,2020-11-16.2346834,bq,1.50,15.150,10.714,0.006,188.073,1.037,g
2459169.76964,2020-11-16.2656649,bA,2.00,15.429,10.726,0.006,186.134,0.979,g
2459169.77088,2020-11-16.2669056,bA,2.00,15.422,10.707,0.006,189.233,0.943,g
2459169.77212,2020-11-16.2681483,bA,2.01,15.418,10.715,0.007,187.931,1.128,g
2459169.79231,2020-11-16.2883320,bq,1.48,15.133,10.714,0.006,188.193,1.019,g
2459169.79353,2020-11-16.2895564,bq,1.51,15.122,10.702,0.006,190.205,0.977,g
2459169.79475,2020-11-16.2907736,bq,1.45,15.136,10.730,0.006,185.313,1.050,g
2459169.80737,2020-11-16.3033932,bA,2.02,15.412,10.723,0.006,186.500,0.993,g
2459169.80862,2020-11-16.3046444,bA,2.02,15.448,10.751,0.006,181.842,1.048,g
2459169.80986,2020-11-16.3058827,bA,2.03,15.426,10.717,0.006,187.596,1.068,g
2459169.83003,2020-11-16.3260547,bq,1.50,15.120,10.734,0.007,184.655,1.122,g
2459169.83124,2020-11-16.3272684,bq,1.52,15.127,10.741,0.006,183.478,0.926,g
2459169.83246,2020-11-16.3284866,bq,1.55,15.112,10.719,0.005,187.163,0.910,g
2459169.84171,2020-11-16.3377418,bA,2.02,15.429,10.722,0.005,186.652,0.879,g
2459169.84296,2020-11-16.3389859,bA,2.02,15.412,10.725,0.005,186.389,0.845,g
2459169.84420,2020-11-16.3402232,bA,2.02,15.430,10.743,0.005,183.194,0.909,g
2459169.86726,2020-11-16.3632836,bq,1.53,15.077,10.717,0.006,187.534,1.002,g
2459169.86848,2020-11-16.3645045,bq,1.53,15.091,10.725,0.006,186.102,0.940,g
2459169.86970,2020-11-16.3657216,bq,1.57,15.089,10.728,0.007,185.730,1.180,g
2459169.87958,2020-11-16.3756096,bA,2.02,15.421,10.743,0.007,183.136,1.093,g
2459169.88083,2020-11-16.3768525,bA,2.02,15.411,10.734,0.005,184.628,0.892,g
2459169.88208,2020-11-16.3781027,bA,2.02,15.416,10.722,0.006,186.892,0.987,g
2459169.95931,2020-11-16.4553392,bA,2.04,15.405,10.781,0.005,176.934,0.809,g
2459169.96055,2020-11-16.4565762,bA,2.03,15.435,10.780,0.005,177.040,0.767,g
2459171.71547,2020-11-18.2115192,bq,1.50,15.187,10.814,0.005,171.593,0.842,g
2459171.71670,2020-11-18.2127494,bq,1.49,15.178,10.825,0.006,169.853,0.894,g
2459171.71792,2020-11-18.2139688,bq,1.45,15.184,10.803,0.006,173.451,0.953,g
2459173.94016,2020-11-20.4362450,bA,2.15,15.347,10.683,0.005,193.686,0.816,g
2459173.94141,2020-11-20.4374879,bA,2.17,15.362,10.726,0.006,186.139,0.949,g
2459173.94264,2020-11-20.4387262,bA,2.13,15.372,10.710,0.005,188.674,0.945,g
2459175.83019,2020-11-22.3263035,bq,1.47,15.072,10.674,0.005,195.227,0.915,g
2459175.83141,2020-11-22.3275253,bq,1.49,15.084,10.740,0.006,183.641,0.985,g
2459175.83263,2020-11-22.3287439,bq,1.46,15.086,10.721,0.006,186.949,1.025,g
2459178.75832,2020-11-25.2544916,bq,1.50,15.351,11.143,0.007,126.760,0.795,g
2459178.75954,2020-11-25.2557125,bq,1.53,15.345,11.143,0.006,126.694,0.675,g
2459178.76077,2020-11-25.2569466,bq,1.48,15.368,11.148,0.007,126.086,0.800,g
2459178.78078,2020-11-25.2769611,bq,1.44,15.297,11.071,0.005,135.372,0.707,g
2459178.78200,2020-11-25.2781842,bq,1.46,15.262,11.066,0.006,136.091,0.710,g
2459178.78323,2020-11-25.2794069,bq,1.48,15.304,11.070,0.006,135.553,0.792,g
2459179.83031,2020-11-26.3265053,bq,1.48,15.081,10.707,0.006,189.269,0.997,g
2459179.83153,2020-11-26.3277274,bq,1.42,15.095,10.715,0.006,187.850,0.932,g
2459179.83276,2020-11-26.3289631,bq,1.46,15.080,10.737,0.007,184.237,1.162,g
2459179.83399,2020-11-26.3301891,bq,1.54,15.107,10.723,0.006,186.615,1.032,g
2459179.83520,2020-11-26.3314049,bq,1.47,15.070,10.719,0.006,187.296,1.024,g
2459179.83642,2020-11-26.3326234,bq,1.44,15.098,10.737,0.006,184.086,0.987,g
2459181.69513,2020-11-28.1913792,bq,1.51,15.091,10.695,0.006,191.359,1.000,g
2459181.69636,2020-11-28.1926059,bq,1.55,15.097,10.703,0.007,190.023,1.229,g
2459181.69759,2020-11-28.1938385,bq,1.55,15.048,10.723,0.006,186.496,1.063,g
2459181.70630,2020-11-28.2025424,bq,1.53,15.116,10.723,0.006,186.566,1.089,g
2459181.70751,2020-11-28.2037631,bq,1.44,15.072,10.711,0.007,188.640,1.127,g
2459181.70874,2020-11-28.2049844,bq,1.49,15.096,10.740,0.007,183.657,1.241,g
2459182.90592,2020-11-29.4022021,bA,2.20,15.239,10.818,0.007,170.801,1.066,g
2459182.90716,2020-11-29.4034462,bA,2.21,15.252,10.837,0.007,168.000,1.098,g
2459182.90840,2020-11-29.4046870,bA,2.13,15.332,10.817,0.006,171.084,1.050,g
2459183.55962,2020-11-30.0559165,bq,1.56,15.075,10.746,0.007,182.566,1.225,g
2459183.56085,2020-11-30.0571442,bq,1.96,14.949,10.720,0.007,187.131,1.211,g
2459187.88651,2020-12-04.3829376,bA,2.06,15.391,10.739,0.005,183.810,0.903,g
2459187.88775,2020-12-04.3841834,bA,2.07,15.347,10.745,0.005,182.797,0.827,g
2459187.88899,2020-12-04.3854217,bA,2.06,15.337,10.739,0.005,183.758,0.898,g
2459189.83615,2020-12-06.3326524,bA,2.04,15.469,10.897,0.005,159.061,0.797,g
2459189.83741,2020-12-06.3339050,bA,2.04,15.462,10.910,0.006,156.990,0.860,g
2459189.83866,2020-12-06.3351571,bA,2.02,15.482,10.902,0.006,158.154,0.838,g
2459189.88951,2020-12-06.3860156,bA,2.02,15.457,10.906,0.005,157.637,0.731,g
2459189.89076,2020-12-06.3872619,bA,2.03,15.467,10.932,0.006,153.862,0.942,g
2459189.89201,2020-12-06.3885118,bA,2.04,15.431,10.906,0.005,157.644,0.743,g
2459190.54393,2020-12-07.0404469,bq,2.24,15.136,10.769,0.007,178.690,1.191,g
2459190.54515,2020-12-07.0416688,bq,2.27,15.136,10.788,0.007,175.692,1.177,g
2459190.54637,2020-12-07.0428873,bq,2.27,15.125,10.766,0.007,179.188,1.226,g
2459190.58938,2020-12-07.0858993,bq,1.49,15.222,10.822,0.006,170.301,0.892,g
2459190.59060,2020-12-07.0871210,bq,1.45,15.216,10.807,0.006,172.774,0.867,g
2459190.59184,2020-12-07.0883626,bq,1.42,15.221,10.794,0.006,174.621,1.010,g
2459190.64795,2020-12-07.1444741,bq,1.54,15.304,10.969,0.006,148.753,0.888,g
2459190.64918,2020-12-07.1456995,bq,1.50,15.291,10.957,0.005,150.376,0.756,g
2459190.65039,2020-12-07.1469157,bq,1.52,15.288,10.968,0.005,148.833,0.750,g
2459190.73389,2020-12-07.2304120,bq,1.53,15.371,11.174,0.006,123.191,0.634,g
2459190.73512,2020-12-07.2316491,bq,1.51,15.377,11.186,0.006,121.800,0.671,g
2459190.73634,2020-12-07.2328677,bq,1.52,15.379,11.187,0.007,121.673,0.769,g
2459190.74186,2020-12-07.2383821,bA,2.02,15.656,11.180,0.006,122.484,0.641,g
2459190.74310,2020-12-07.2396206,bA,2.02,15.671,11.203,0.007,119.875,0.726,g
2459190.74433,2020-12-07.2408609,bA,2.01,15.660,11.187,0.007,121.746,0.716,g
2459190.77151,2020-12-07.2680377,bq,1.50,15.328,11.123,0.006,129.058,0.680,g
2459190.77273,2020-12-07.2692562,bq,1.53,15.338,11.108,0.006,130.853,0.806,g
2459190.77395,2020-12-07.2704736,bq,1.49,15.322,11.090,0.005,133.000,0.680,g
2459190.80242,2020-12-07.2989451,bA,2.11,15.572,11.034,0.006,140.109,0.790,g
2459190.80366,2020-12-07.3001905,bA,2.11,15.577,11.045,0.006,138.762,0.842,g
2459190.80491,2020-12-07.3014443,bA,2.12,15.568,11.029,0.006,140.677,0.810,g
2459190.83665,2020-12-07.3331728,bA,2.11,15.504,10.888,0.005,160.237,0.784,g
2459190.83788,2020-12-07.3344143,bA,2.10,15.515,10.933,0.006,153.686,0.873,g
2459190.83912,2020-12-07.3356549,bA,2.09,15.515,10.922,0.006,155.349,0.855,g
2459191.79660,2020-12-08.2931620,bq,1.52,15.112,10.709,0.006,188.903,0.960,g
2459191.79782,2020-12-08.2943877,bq,1.59,15.103,10.722,0.006,186.799,1.014,g
2459191.79904,2020-12-08.2956059,bq,1.73,15.099,10.707,0.006,189.254,1.041,g
2459191.81901,2020-12-08.3155731,bq,1.65,15.117,10.738,0.005,183.899,0.910,g
2459191.82025,2020-12-08.3168160,bq,1.60,15.114,10.731,0.006,185.206,0.919,g
2459191.82148,2020-12-08.3180439,bq,1.54,15.110,10.725,0.006,186.348,0.943,g
2459192.73950,2020-12-09.2360979,bq,1.53,15.169,10.726,0.007,186.074,1.100,g
2459192.74071,2020-12-09.2373244,bq,1.45,15.163,10.722,0.006,186.759,0.902,g
2459192.74197,2020-12-09.2385714,bq,1.55,15.183,10.748,0.006,182.418,0.944,g
2459192.78707,2020-12-09.2836769,bq,1.61,15.143,10.725,0.007,186.222,1.169,g
2459192.78829,2020-12-09.2848940,bq,1.54,15.119,10.698,0.006,190.905,1.050,g
2459192.78951,2020-12-09.2861251,bq,1.61,15.124,10.719,0.006,187.143,0.945,g
2459194.83368,2020-12-11.3303730,bA,2.10,15.413,10.732,0.005,185.031,0.829,g
2459194.83493,2020-12-11.3316146,bA,2.10,15.440,10.751,0.005,181.964,0.877,g
2459194.83617,2020-12-11.3328555,bA,2.10,15.412,10.741,0.005,183.599,0.850,g
2459197.57006,2020-12-14.0668556,bq,2.46,15.213,11.163,0.013,124.420,1.550,g
2459197.57128,2020-12-14.0680763,bq,2.44,15.202,11.132,0.013,127.970,1.571,g
2459197.57251,2020-12-14.0693009,bq,2.13,15.236,11.171,0.007,123.522,0.813,g
2459197.61774,2020-12-14.1145383,bq,1.55,15.352,11.145,0.007,126.479,0.778,g
2459197.61897,2020-12-14.1157692,bq,1.53,15.380,11.162,0.006,124.605,0.692,g
2459197.62021,2020-12-14.1170018,bq,1.56,15.380,11.160,0.005,124.736,0.650,g
2459197.63282,2020-12-14.1296201,bq,1.55,15.340,11.105,0.006,131.228,0.801,g
2459197.63406,2020-12-14.1308638,bq,1.55,15.347,11.124,0.005,128.949,0.676,g
2459197.63528,2020-12-14.1320859,bq,1.56,15.357,11.129,0.005,128.288,0.637,g
2459197.67004,2020-12-14.1668402,bq,1.57,15.290,11.003,0.006,144.104,0.770,g
2459197.67127,2020-12-14.1680660,bq,1.55,15.299,11.009,0.006,143.467,0.859,g
2459197.67249,2020-12-14.1692938,bq,1.60,15.304,10.997,0.006,144.904,0.746,g
2459197.69624,2020-12-14.1930407,bq,1.57,15.262,10.927,0.006,154.530,0.838,g
2459197.69745,2020-12-14.1942538,bq,1.57,15.263,10.930,0.006,154.133,0.905,g
2459197.69868,2020-12-14.1954783,bq,1.62,15.255,10.924,0.006,155.052,0.792,g
2459197.76382,2020-12-14.2606285,bq,1.62,15.188,10.791,0.006,175.310,0.921,g
2459197.76505,2020-12-14.2618511,bq,1.55,15.188,10.807,0.006,172.690,0.889,g
2459197.76628,2020-12-14.2630810,bq,1.61,15.175,10.793,0.005,174.868,0.821,g
2459200.80093,2020-12-17.2978678,bA,2.03,15.414,10.733,0.005,184.822,0.894,g
2459200.80217,2020-12-17.2991105,bA,2.04,15.420,10.752,0.005,181.627,0.830,g
2459200.80341,2020-12-17.30035,bA,2.03,15.430,10.748,0.005,182.279,0.887,g
2459204.60146,2020-12-21.0985744,bq,1.60,15.187,10.810,0.006,172.156,0.862,g
2459204.60269,2020-12-21.0998137,bq,1.65,15.178,10.803,0.006,173.232,0.870,g
2459204.60395,2020-12-21.1010673,bq,1.65,15.169,10.801,0.006,173.637,0.878,g
2459204.66135,2020-12-21.1584777,bq,1.52,15.164,10.740,0.006,183.650,0.899,g
2459204.66258,2020-12-21.1597043,bq,1.51,15.196,10.765,0.006,179.521,0.933,g
2459204.66381,2020-12-21.1609320,bq,1.50,15.197,10.775,0.006,177.846,1.008,g
2459204.68408,2020-12-21.1812085,bq,1.49,15.194,10.766,0.006,179.432,0.880,g
2459204.68530,2020-12-21.1824313,bq,1.47,15.206,10.774,0.006,178.011,0.903,g
2459204.68653,2020-12-21.1836590,bq,1.53,15.170,10.740,0.006,183.737,0.916,g
2459204.71772,2020-12-21.2148457,bq,1.54,15.142,10.717,0.005,187.670,0.865,g
2459204.71895,2020-12-21.2160743,bq,1.54,15.156,10.746,0.006,182.628,0.895,g
2459204.72020,2020-12-21.2173265,bq,1.54,15.167,10.752,0.007,181.609,1.080,g
2459207.71567,2020-12-24.2129484,bA,2.26,15.310,10.792,0.005,175.022,0.894,g
2459207.71691,2020-12-24.2141913,bA,2.27,15.296,10.796,0.005,174.280,0.880,g
2459207.71815,2020-12-24.2154311,bA,2.23,15.357,10.803,0.006,173.203,0.941,g
2459209.75819,2020-12-26.2555787,bA,2.11,15.355,10.810,0.005,172.177,0.821,g
2459209.75944,2020-12-26.2568276,bA,2.10,15.356,10.805,0.006,172.962,1.048,g
2459209.76070,2020-12-26.2580834,bA,2.09,15.353,10.804,0.005,173.121,0.899,g
2459209.78872,2020-12-26.2861126,bA,2.08,15.351,10.778,0.005,177.411,0.837,g
2459209.78997,2020-12-26.2873569,bA,2.08,15.356,10.802,0.005,173.515,0.845,g
2459209.79121,2020-12-26.2886032,bA,2.07,15.339,10.778,0.005,177.490,0.867,g
2459211.55279,2020-12-28.0502785,bq,2.13,15.069,10.767,0.007,179.153,1.203,g
2459211.55402,2020-12-28.0515077,bq,2.09,15.119,10.765,0.008,179.553,1.246,g
2459211.55525,2020-12-28.0527366,bq,2.10,15.096,10.774,0.007,178.049,1.167,g
2459211.63227,2020-12-28.1297670,bq,1.51,15.129,10.740,0.005,183.585,0.863,g
2459211.63350,2020-12-28.1309972,bq,1.49,15.129,10.738,0.005,184.077,0.902,g
2459211.63473,2020-12-28.1322271,bq,1.53,15.120,10.727,0.006,185.869,0.995,g
2459211.71310,2020-12-28.2105978,bA,2.36,15.246,10.723,0.006,186.573,0.984,g
2459211.71434,2020-12-28.2118398,bA,2.33,15.289,10.737,0.006,184.164,1.075,g
2459211.71558,2020-12-28.2130866,bA,2.33,15.317,10.725,0.006,186.237,1.120,g
2459211.74765,2020-12-28.2451502,bq,2.19,14.451,10.772,0.014,178.296,2.271,g
2459211.77008,2020-12-28.2675877,bA,2.15,15.317,10.710,0.007,188.684,1.182,g
2459211.77132,2020-12-28.2688306,bA,2.14,15.310,10.736,0.005,184.257,0.943,g
2459211.77258,2020-12-28.2700787,bA,2.18,15.281,10.731,0.006,185.183,0.971,g
2459211.82345,2020-12-28.3209576,bA,2.20,15.277,10.734,0.005,184.629,0.940,g
2459211.82469,2020-12-28.3221982,bA,2.23,15.237,10.721,0.006,186.888,0.990,g
2459211.82594,2020-12-28.3234480,bA,2.27,15.273,10.701,0.005,190.335,0.884,g
2459211.83497,2020-12-28.3324815,bA,2.25,15.226,10.694,0.005,191.610,0.968,g
2459211.83623,2020-12-28.3337340,bA,2.24,15.280,10.723,0.005,186.427,0.892,g
2459211.83748,2020-12-28.3349873,bA,2.32,15.260,10.748,0.006,182.354,1.110,g
2459213.73547,2020-12-30.2330832,bq,1.97,14.890,10.782,0.008,176.710,1.294,g
2459213.73669,2020-12-30.2343028,bq,1.59,14.868,10.782,0.009,176.685,1.412,g
2459213.73792,2020-12-30.2355283,bq,1.63,14.988,10.784,0.008,176.372,1.335,g
2459213.76946,2020-12-30.2670723,bq,1.72,14.837,10.812,0.008,171.788,1.319,g
2459213.77068,2020-12-30.2682934,bq,1.62,14.886,10.808,0.007,172.462,1.151,g
2459213.77191,2020-12-30.2695260,bq,1.96,14.912,10.806,0.009,172.833,1.351,g
2459216.79065,2021-01-02.2884495,bA,2.13,15.364,10.745,0.005,182.896,0.917,g
2459216.79190,2021-01-02.2896864,bA,2.15,15.344,10.728,0.005,185.616,0.891,g
2459216.79314,2021-01-02.2909292,bA,2.16,15.345,10.724,0.005,186.428,0.946,g
2459218.54671,2021-01-04.0446027,bq,1.55,99.990,99.990,99.990,99.990,99.990,g
2459218.54794,2021-01-04.0458293,bq,1.66,99.990,99.990,99.990,99.990,99.990,g
2459218.54915,2021-01-04.0470421,bq,1.63,99.990,99.990,99.990,99.990,99.990,g
2459218.61406,2021-01-04.1119593,bq,1.48,15.152,10.728,0.006,185.721,0.957,g
2459218.61528,2021-01-04.1131763,bq,1.51,15.142,10.693,0.005,191.663,0.890,g
2459218.61651,2021-01-04.1144040,bq,1.60,15.162,10.732,0.007,185.084,1.092,g
2459218.67819,2021-01-04.1760914,bq,1.56,15.152,10.710,0.006,188.782,0.934,g
2459218.67941,2021-01-04.1773062,bq,1.51,15.154,10.714,0.006,188.083,0.946,g
2459218.68064,2021-01-04.1785387,bq,1.56,15.142,10.707,0.006,189.337,0.944,g
2459218.71573,2021-01-04.2136306,bq,1.66,15.129,10.729,0.006,185.536,1.070,g
2459218.71696,2021-01-04.2148570,bq,1.62,15.120,10.718,0.006,187.403,0.947,g
2459218.71819,2021-01-04.2160929,bq,1.61,15.131,10.725,0.006,186.236,1.069,g
2459218.74599,2021-01-04.2439017,bA,2.08,15.404,10.722,0.005,186.848,0.857,g
2459218.74724,2021-01-04.2451506,bA,2.07,15.432,10.753,0.006,181.375,0.932,g
2459218.74849,2021-01-04.2463961,bA,2.07,15.427,10.734,0.006,184.659,1.027,g
2459218.78782,2021-01-04.2857341,bA,2.16,15.407,10.734,0.006,184.612,1.026,g
2459218.78909,2021-01-04.2869947,bA,2.18,15.412,10.733,0.006,184.784,1.092,g
2459218.79033,2021-01-04.2882388,bA,2.17,15.406,10.735,0.006,184.479,1.025,g
2459219.69200,2021-01-05.1899600,bq,1.54,15.197,10.786,0.006,176.138,0.974,g
2459219.69323,2021-01-05.1911894,bq,1.52,15.172,10.759,0.006,180.392,0.890,g
2459219.69445,2021-01-05.1924106,bq,1.52,15.191,10.793,0.006,174.934,0.898,g
2459219.72207,2021-01-05.2200353,bq,1.50,15.183,10.790,0.006,175.319,0.891,g
2459219.72329,2021-01-05.2212516,bq,1.48,15.174,10.769,0.006,178.809,0.903,g
2459219.72450,2021-01-05.2224699,bq,1.47,15.178,10.796,0.006,174.430,0.902,g
2459220.73113,2021-01-06.2291577,bq,1.73,99.990,99.990,99.990,99.990,99.990,g
2459220.73236,2021-01-06.2303880,bq,1.55,99.990,99.990,99.990,99.990,99.990,g
2459220.73359,2021-01-06.2316204,bq,1.56,99.990,99.990,99.990,99.990,99.990,g
2459221.76273,2021-01-07.2608185,bA,2.05,15.468,10.826,0.005,169.610,0.851,g
2459221.76398,2021-01-07.2620697,bA,2.06,15.456,10.795,0.005,174.596,0.794,g
2459221.76523,2021-01-07.2633209,bA,2.05,15.469,10.818,0.005,170.934,0.862,g
2459222.73460,2021-01-08.2327496,bq,1.54,15.110,10.690,0.005,192.184,0.900,g
2459222.73583,2021-01-08.2339763,bq,1.54,15.117,10.717,0.005,187.523,0.854,g
2459222.73705,2021-01-08.2352042,bq,1.48,15.124,10.726,0.006,186.065,0.921,g
2459223.71260,2021-01-09.2108170,bq,1.51,15.138,10.725,0.006,186.193,0.918,g
2459223.71382,2021-01-09.2120366,bq,1.46,15.135,10.728,0.005,185.702,0.903,g
2459223.71504,2021-01-09.2132585,bq,1.45,15.145,10.729,0.006,185.554,0.941,g
2459223.72380,2021-01-09.2220180,bq,1.47,15.117,10.708,0.005,189.060,0.917,g
2459223.72503,2021-01-09.2232479,bq,1.52,15.124,10.707,0.006,189.231,0.931,g
2459223.72626,2021-01-09.2244743,bq,1.49,15.099,10.673,0.005,195.316,0.945,g
2459225.78291,2021-01-11.2812512,bA,2.08,15.445,10.802,0.005,173.551,0.803,g
2459225.78415,2021-01-11.2824918,bA,2.08,15.422,10.778,0.005,177.378,0.810,g
2459225.78538,2021-01-11.2837290,bA,2.08,15.439,10.800,0.005,173.753,0.858,g
2459228.78026,2021-01-14.2787998,bA,2.11,15.414,10.746,0.006,182.653,0.957,g
2459228.78151,2021-01-14.28005,bA,2.13,15.410,10.756,0.006,180.937,1.025,g
2459228.78275,2021-01-14.2812928,bA,2.10,15.401,10.737,0.005,184.028,0.820,g
2459230.58356,2021-01-16.0822277,bq,1.47,15.173,10.709,0.006,188.881,0.961,g
2459230.58479,2021-01-16.0834577,bq,1.51,15.179,10.721,0.006,186.968,0.950,g
2459230.58602,2021-01-16.0846879,bq,1.49,15.175,10.723,0.006,186.570,1.044,g
2459232.58457,2021-01-18.0833627,bq,1.53,15.164,10.718,0.006,187.589,0.970,g
2459232.58580,2021-01-18.0845987,bq,1.53,15.183,10.741,0.007,183.429,1.087,g
2459232.58703,2021-01-18.0858327,bq,1.49,15.191,10.741,0.005,183.537,0.811,g
2459232.63718,2021-01-18.1359821,bq,1.51,15.159,10.736,0.005,184.461,0.889,g
2459232.63842,2021-01-18.1372275,bq,1.54,15.174,10.781,0.005,176.949,0.848,g
2459232.63964,2021-01-18.1384425,bq,1.58,15.170,10.766,0.005,179.286,0.863,g
2459232.64088,2021-01-18.1396821,bq,1.48,15.169,10.754,0.005,181.412,0.872,g
2459232.64211,2021-01-18.1409137,bq,1.48,15.194,10.801,0.007,173.638,1.039,g
2459232.64332,2021-01-18.1421212,bq,1.52,15.171,10.788,0.005,175.682,0.868,g
2459232.70506,2021-01-18.2038646,bq,1.50,15.188,10.840,0.005,167.517,0.790,g
2459232.70630,2021-01-18.2051113,bq,1.54,15.200,10.877,0.006,161.896,0.831,g
2459232.70752,2021-01-18.2063307,bq,1.48,15.223,10.882,0.006,161.173,0.845,g
2459237.63674,2021-01-23.1358788,bq,1.59,15.153,10.727,0.006,185.944,0.905,g
2459237.63796,2021-01-23.1371106,bq,1.59,15.123,10.731,0.006,185.140,1.050,g
2459237.63920,2021-01-23.1383379,bq,1.45,15.139,10.715,0.006,187.935,0.948,g
2459238.67482,2021-01-24.1740377,bq,1.59,15.147,10.930,0.007,154.299,1.008,g
2459238.67607,2021-01-24.1752832,bq,1.65,15.117,10.918,0.007,155.774,0.986,g
2459238.67732,2021-01-24.1765361,bq,1.64,15.077,10.893,0.007,159.493,0.914,g
2459243.73178,2021-01-29.2313469,bA,2.35,15.244,10.758,0.006,180.611,0.901,g
2459243.73302,2021-01-29.2325896,bA,2.35,15.236,10.788,0.006,175.726,0.901,g
2459243.73426,2021-01-29.2338283,bA,2.38,15.229,10.802,0.007,173.495,1.025,g
2459245.66199,2021-01-31.1617026,bq,1.53,15.227,11.122,0.006,129.228,0.759,g
2459245.66322,2021-01-31.1629307,bq,1.61,15.262,11.113,0.006,130.247,0.702,g
2459245.66444,2021-01-31.1641538,bq,1.62,15.225,11.130,0.006,128.247,0.744,g
2459246.56133,2021-02-01.0611115,bq,1.49,15.206,10.873,0.005,162.495,0.782,g
2459246.56256,2021-02-01.0623394,bq,1.49,15.216,10.876,0.007,162.080,0.998,g
2459246.56378,2021-02-01.0635579,bq,1.47,15.219,10.865,0.006,163.720,0.846,g
2459246.66630,2021-02-01.1660788,bq,1.54,15.122,10.756,0.005,181.092,0.894,g
2459246.66753,2021-02-01.1673100,bq,1.60,15.101,10.746,0.005,182.667,0.861,g
2459246.66876,2021-02-01.1685424,bq,1.55,15.110,10.723,0.006,186.594,0.959,g
2459246.71752,2021-02-01.2173046,bA,2.10,15.381,10.737,0.005,184.318,0.864,g
2459246.71876,2021-02-01.2185464,bA,2.09,15.369,10.733,0.005,184.719,0.817,g
2459246.72001,2021-02-01.2197960,bA,2.09,15.378,10.746,0.005,182.701,0.909,g
2459248.64188,2021-02-03.1417984,bq,1.48,15.120,10.694,0.006,191.464,0.950,g
2459248.64311,2021-02-03.1430288,bq,1.50,15.109,10.685,0.005,193.336,0.895,g
2459248.64434,2021-02-03.1442568,bq,1.47,15.124,10.703,0.006,190.078,0.925,g
2459250.62016,2021-02-05.1202173,bq,1.44,15.000,10.767,0.006,179.233,0.996,g
2459250.62139,2021-02-05.1214523,bq,1.50,15.035,10.756,0.007,181.002,1.171,g
2459250.62262,2021-02-05.1226791,bq,1.46,14.990,10.764,0.006,179.618,0.963,g
2459250.65508,2021-02-05.1551343,bq,1.54,15.133,10.832,0.006,168.659,0.873,g
2459250.65630,2021-02-05.1563564,bq,1.56,15.147,10.847,0.005,166.438,0.850,g
2459250.65753,2021-02-05.1575914,bq,1.52,15.119,10.810,0.006,172.204,0.896,g
2459252.64693,2021-02-07.1471315,bq,1.50,15.150,10.775,0.005,177.874,0.861,g
2459252.64816,2021-02-07.1483603,bq,1.50,15.157,10.803,0.005,173.351,0.848,g
2459252.64937,2021-02-07.1495785,bq,1.49,15.159,10.798,0.005,174.194,0.844,g
2459253.60255,2021-02-08.1028170,bq,1.45,15.156,10.728,0.005,185.688,0.846,g
2459253.60378,2021-02-08.1040469,bq,1.52,15.128,10.700,0.005,190.606,0.920,g
2459253.60501,2021-02-08.1052781,bq,1.50,15.145,10.727,0.005,185.876,0.866,g
2459253.66026,2021-02-08.1605328,bq,1.53,15.088,10.700,0.005,190.569,0.912,g
2459255.59218,2021-02-10.0925968,bq,2.11,15.120,10.730,0.007,185.275,1.109,g
2459255.59341,2021-02-10.0938180,bq,1.65,15.146,10.740,0.007,183.691,1.081,g
2459255.59463,2021-02-10.0950467,bq,1.65,15.133,10.715,0.006,187.873,1.090,g
2459257.63486,2021-02-12.1354131,bq,1.50,15.320,11.166,0.006,124.039,0.704,g
2459257.63607,2021-02-12.1366270,bq,1.51,15.342,11.170,0.006,123.545,0.671,g
2459257.63729,2021-02-12.1378421,bq,1.57,15.318,11.152,0.007,125.657,0.725,g
2459277.58005,2021-03-04.0819412,bq,2.39,15.004,10.731,0.007,185.233,1.170,g
2459277.58126,2021-03-04.0831559,bq,2.32,15.038,10.744,0.007,182.951,1.270,g
2459278.58439,2021-03-05.0863432,bq,1.64,15.035,10.725,0.006,186.074,0.958,g
2459278.58563,2021-03-05.0875829,bq,1.97,14.997,10.713,0.006,188.389,1.004,g
2459278.58684,2021-03-05.0887975,bq,1.62,15.014,10.721,0.005,186.940,0.923,g
2459280.58399,2021-03-07.0860704,bq,1.54,15.102,10.743,0.007,183.144,1.093,g
