phase,mag
0.7717262872969002,10.735
0.22081763303623347,10.738
0.22152868012759086,10.75
0.22223389919096803,10.755
0.22814506735102213,10.728
0.22887942736832656,10.721
0.2296079593576792,10.73
0.39113837510450367,10.778
0.3918552504951549,10.76
0.39262458003707934,10.778
0.6616280170492246,10.747
0.6630384549046084,10.74
0.22146687545841814,10.723
0.2221837508490978,10.714
0.9349748219122489,10.914
0.9357208385282263,10.914
0.9364668551442037,10.889
0.515737115636,10.958
0.5164889605512997,10.957
0.5172291488679264,10.942
0.7869497908271512,10.72
0.7876841508444556,10.71
0.788430167460433,10.752
0.553861049167466,10.863
0.5547003177586589,10.854
0.5554230214486608,10.659
0.2963169493911266,10.72
0.2970279967538545,10.753
0.29773904384518346,10.736
0.8406876191427273,10.737
0.8414278077307529,10.77
0.8421738243467018,10.763
0.45778908268735563,10.871
0.9758228564179205,11.153
0.9765688730338979,11.096
0.9773032333225729,11.185
0.13525510041537814,10.774
0.13600111703135553,10.766
0.13673547704863154,10.78
0.26714301125838347,10.734
0.26784240175103946,10.734
0.2686059032650405,10.732
0.8471767729927819,10.771
0.8478878200841109,10.767
0.8485988671754399,10.769
0.43787041334064725,10.384
0.43860477335795167,10.379
0.43934496167457837,10.392
0.018871665437501406,10.861
0.01961768205345038,10.839
0.020352042070754806,10.818
0.7858178933024362,10.704
0.7865639099184136,10.758
0.7873157548337133,10.748
0.9158932168924707,10.841
0.9166042639838281,10.837
0.9173036544764841,10.89
0.6876477550729305,10.735
0.6883995997168597,10.748
0.6891397883048853,10.724
0.38399050211950225,10.778
0.38469572091150894,10.782
0.3854067682742368,10.774
0.5982549686119114,10.765
0.5990009852278604,10.768
0.5997470018438378,10.757
0.17904640356093182,10.738
0.17978659214895742,10.731
0.18053260876493482,10.743
0.7597970409574089,10.752
0.7605430575733862,10.697
0.761283245890013,10.749
0.34051270855781013,10.744
0.34125872517381595,10.767
0.34199891349044265,10.746
0.010132906685953458,11.285
0.010843953777282422,11.279
0.011555000868611387,11.258
0.7984280324603787,10.761
0.7991390795517077,10.744
0.7998501266430367,10.732
0.5389314676039021,10.899
0.5396366863959088,10.877
0.5403477334872377,10.88
0.6079334957286164,10.765
0.6086387145206231,10.754
0.6093497616119521,10.776
0.9387284212796203,10.923
0.9394394683710061,10.948
0.5146124656386064,10.901
0.5153235127299354,10.951
0.5160345598212643,10.936
0.31523566829309857,10.737
0.31594671538442753,10.734
0.3166577624757565,10.703
0.6497082227727446,10.734
0.6504192698640736,10.744
0.6511303169554026,10.751
0.06872024986415681,10.768
0.06946626648010579,10.84
0.07020645479678933,10.924
0.23252951328288418,10.695
0.23327552989883316,10.726
0.23402154651478213,10.739
0.39410072658228046,10.77
0.39484674319822943,10.776
0.3955927598141784,10.776
0.5555786879064044,10.809
0.5563247045224102,10.849
0.5570648931104074,10.861
0.14077045547406897,10.773
0.14151064379069567,10.775
0.14225083210732237,10.778
0.3090674751872484,10.725
0.3098076635038751,10.738
0.3105536801198241,10.719
0.1243419224362583,10.864
0.12505296952758727,10.816
0.12576401661891623,10.816
0.2109439628096652,10.748
0.21168415139771923,10.737
0.21242433971434593,10.732
0.2858839947817273,10.736
0.2865950418730563,10.745
0.2873060889644421,10.729
0.8863049923625113,10.807
0.887010211154518,10.806
0.8877212582458469,10.806
0.6998073206260642,10.744
0.7005475092141182,10.724
0.7012876975307449,10.722
0.7917192308149765,10.752
0.7924302779063055,10.757
0.7931413249976345,10.746
0.3850880399329526,10.705
0.3857932589963866,10.774
0.38651013438703785,10.771
0.8051660034697079,10.744
0.8059120200856569,10.742
0.8066522084022836,10.75
0.932513703595589,10.923
0.933259720211538,10.894
0.9340057370989143,10.953
0.37710563671316777,10.768
0.37780502747722267,10.794
0.37851607456855163,10.766
0.9576989111130843,11.074
0.9583983016057687,11.085
0.9591093489684681,11.102
0.5361823571649325,10.905
0.5368992325556405,10.882
0.5376044513476472,10.957
0.7433596656699706,10.736
0.7440998539865973,10.715
0.7448458706025463,10.701
0.25687555348287106,10.727
0.2575866005742,10.753
0.2582976479369563,10.721
0.8379059470764219,10.791
0.8386169941677508,10.772
0.8393338695584021,10.785
0.4252541688439919,10.77
0.4259593876359986,10.813
0.4266704347273276,10.828
0.09552097402848858,10.798
0.7200184927114606,10.725
0.7207586812995146,10.743
0.7215221825421168,10.714
0.24005751577260526,10.709
0.24077439116331334,10.715
0.24147378192736824,10.711
0.0944858506975379,10.822
0.09523186731354372,10.798
0.09598371222881497,10.788
0.03811045823090353,11.047
0.0388215053222325,11.047
0.03953255241356146,11.046
0.8325310799295949,10.754
0.8332362987216015,10.761
0.8339473458129305,10.757
0.4392524210578017,10.85
0.4399576398498084,10.856
0.44066868694113737,10.838
