hjd,phase,target flux,comp flux,check flux,mag
2459915.670638,0.5025044305439224,317856.03944091796,764984.6153613284,143253.07816162106,11.041555881160413
2459918.5429584,0.17656599224665115,171314.42609863277,356591.8545019532,64552.14331054689,10.883944004574213
2459918.5444652,0.17744419360587926,166562.78712402342,344229.0302783203,62277.80124023438,10.87617408269528
2459918.5459805,0.1783273490875672,161299.0741601562,334851.20846191404,61072.30254394531,10.881050287625882
2459922.4979237,0.48162060463550915,243861.09110351565,588375.4375146484,108160.69854980467,11.04428035161924
2459922.4994428,0.4825059747352043,242412.65072753906,583888.4402246096,107649.58383300781,11.042436789316985
2459922.5009445,0.48338120372977755,236552.23045410152,571151.6142724609,105340.58385742188,11.045061200613405
2459923.4939057,0.06210430755049856,291705.6491113281,657475.6346728515,121399.38559814454,10.970337355850507
2459923.4954204,0.06298711346994423,293207.78113281255,654746.0436083985,120021.72412109378,10.960243776085527
2459923.4969315,0.06386782093022703,285011.4379345703,634731.9138427733,117365.9946899414,10.957320411592004
2459926.4745946,0.7993257940900094,274470.91508300777,578501.7226953126,106268.86506835937,10.897521113312866
2459926.4761056,0.80020644347087,271718.5183007812,575144.1231591796,105067.63201049804,10.902143919613772
2459926.4776094,0.8010828964761458,267244.6519946289,568728.6397265627,103517.51083374023,10.907990486914102
2459928.4879978,0.9727885127201716,188195.63845214839,539061.307890625,98389.0763671875,11.230571813790817
2459928.4895124,0.9736712600174542,178039.90953491212,507580.31014404306,93505.54468688967,11.225468802122247
2459928.4910257,0.9745532498391185,176332.97570800778,505365.2823559571,92296.2812536621,11.23117996475136
2459932.6015828,0.3702907304286782,174677.41728698727,373903.54604003916,70442.80845031739,10.914307352460646
2459932.6030859,0.37116677552080546,308836.7051721191,662616.4626611327,124320.94832824708,10.916833575459972
2459932.6046035,0.3720512714432971,241218.0693835449,517812.51632690424,97077.13078125002,10.917407063992473
2459934.481792,0.46612458995446104,190056.69645751955,451659.33481079113,82579.85360290525,11.027819833642026
2459934.483303,0.4670052393353217,184826.61145080568,439088.2891748047,80697.65798461912,11.02746867982572
2459934.4848113,0.4678843148717533,179449.29301269533,430830.99782714836,78640.90779174805,11.038913275333833
2459935.4677151,0.04074570956095158,227562.8836828613,520661.2796081543,100086.431227417,10.9866349297083
2459935.4692261,0.041626358941812214,225408.24241821282,506719.1949951173,98305.31849304198,10.967494206043334
2459935.4707321,0.04250409403721278,216753.8267175293,503220.0482727051,94502.9974420166,11.002478201345777
2459939.4860255,0.3827194614275413,152221.46894165035,322504.5555834961,58855.661733398454,10.90315016035223
2459939.4875264,0.38359422415828703,147344.4623352051,313709.56067993166,56729.36755310058,10.908485138048485
